sport,time,calories,distance,Duration,average,maximum,Data Source,Cal/HR,Location,note
Spin,2009-08-31 17:32:07.0,416,-,00:48:48,142,167,1,2.93,,-
Spin,2009-09-02 18:53:20.0,316,-,00:43:03,131,158,1,2.41,,-
Spin,2009-09-09 18:47:44.0,412,-,00:50:10,139,172,1,2.96,,-
Spin,2009-09-11 17:33:47.0,407,-,00:50:13,138,168,1,2.95,,-
Biking,2009-09-12 18:20:00.0,313,6437,00:40:22,135,161,1,2.32,RP,ASU research park. Probably rode more than 4 miles. Not sure.
Spin,2009-09-16 18:47:04.0,445,-,00:52:28,142,170,1,3.13,,-
Biking,2009-09-19 14:46:00.0,1129,16093,02:26:40,134,177,1,8.43,Trail,San Diego - Black Canyon
Spin,2009-09-21 17:33:27.0,429,-,00:51:08,143,203,1,3,,-
Spin,2009-09-23 18:46:00.0,370,-,00:45:06,139,167,1,2.66,,-
Spin,2009-09-25 17:32:28.0,486,-,00:54:32,146,177,1,3.33,,-
Spin,2009-09-30 18:45:42.0,440,-,00:54:17,132,163,1,3.33,,-
Biking,2009-10-03 15:48:00.0,1288,24945,02:12:12,146,174,1,8.82,DCFull,DC 24 to WT 0:42 Loma vista top 1:12 Overlook (8 mi.) 1:42 return WT 2:12 finished
Spin,2009-10-05 17:34:29.0,375,-,00:49:38,127,161,1,2.95,,-
Spin,2009-10-07 18:49:29.0,398,-,00:49:24,131,158,1,3.04,,-
Biking,2009-10-11 10:27:00.0,1076,12070,01:51:15,145,179,1,7.42,Trail,East/West to Javelina then Ridgeline/goofing around Rode Javelina in about 45. Back along the ridge line with several attempts at 100 dollar hill.
Spin,2009-10-14 18:46:33.0,407,-,00:49:09,133,155,1,3.06,,-
Biking,2009-10-17 17:13:00.0,504,12875,00:50:18,149,167,1,3.38,DC,25 to water tank 50 back home 0.4 L water
Biking,2009-10-18 16:34:00.0,794,17703,01:24:26,143,170,1,5.55,CDL,26 min to water tank 43 to Loma Vista trailhead 55 back to water tank 1:25 at trailhead 1 L water (1 kg)
Spin,2009-10-21 18:51:46.0,326,-,00:43:30,122,158,1,2.67,,-
Hiking,2009-10-24 12:38:00.0,1405,-,03:00:35,124,173,1,11.33,,Unknown distance. Some kind of side trail next to Tanner trail. The hardest hiking I have ever down downhill with a pack on. Estimated 25 lbs. pack.
Hiking,2009-10-25 09:33:00.0,1149,-,02:16:12,130,159,1,8.84,,Return hike out of Tanner canyon. Felt pretty good. Normal hike.
Biking,2009-10-31 16:31:00.0,544,12875,01:05:28,140,173,1,3.89,Flat,Water tanks and back. Got to tanks in 26. Got flat tire on the way back so it took longer.
Biking,2009-11-01 16:49:00.0,224,8047,00:39:02,116,148,1,1.93,RP,Very light ride at the ASU research park.
Biking,2009-11-06 14:35:00.0,1892,40234,03:43:01,142,177,1,13.32,Trail,Sedona with Andrew. Long ride  Bell rock loop and little horse trail to chicken point. Mileage estimated.
Biking,2009-11-14 15:44:00.0,530,12875,00:49:38,150,179,1,3.53,DC,Water tanks and back.
Biking,2009-11-21 15:32:00.0,833,19312,01:14:11,155,177,1,5.37,CDL,Out and back to Corona Loma. 23 to Water tanks. 41 to Corona Loma. 51(?) to Water tank. 74 back to parking lot.
Biking,2009-11-22 16:22:00.0,584,12875,00:52:19,155,182,1,3.77,Jav,Javelina. 19 to baseline parking lot. 44 to top. 52 complete.
Biking,2009-12-05 14:45:00.0,901,19312,01:11:33,165,184,1,5.46,CDL,23 to water tanks. 38 to corona loma. 48 back to tanks. 71 finish. No rests. Rode basically as hard as I could.
Biking,2009-12-12 16:30:00.0,677,9656,01:02:52,151,184,1,4.48,ML,Rode Mormon loop. Tough ride physically. 26 mins half way up cardiovascular hill. Think it was 32 min to top of trail/ overlooking South PHX to the North.
